text,clause_type,risk
"calm shall pay to xspa on a monthly basis a retail commission of $20.00 for each sale of calm digital product subscriptions (excluding, for the avoidance of doubt, any free trial subscriptions) that result from xspa's distribution of inserts and a customer's use of the unique promotional discount code set forth therein in accordance with the terms and conditions set forth herein (it being understood that xspa shall ensure fifty percent (50%) of each such commission shall be distributed to the applicable store's retail employees or contractors via a pool or other format as mutually agreed to by the parties).",Revenue/Profit Sharing,Low Risk
xspa shall pay to calm on a monthly basis an amount equal to (i) fifty percent (50%) of the retail price for all products sold in the stores in the territory during the applicable month minus (ii) fifty percent (50%) of any commission actually paid or payable to xspa employee(s) or contractor(s) attributable to sales of such products during such month; provided that in no event shall such commission be greater than fifteen percent (15%) of the retail price for the applicable product.,Revenue/Profit Sharing,Low Risk
"calm shall have the right, but not the obligation, to hire personnel of its choosing to be present in any store(s) to assist in the display, marketing, promotion, offer for sale and sale of products, provided, however, that no more than one such person shall be present at any one time in any store without the prior written consent of xspa.",Volume Restriction,Low Risk
"in addition to the products, calm shall have the right to identify up to five (5) additional products, with such products and the price thereof to be mutually agreed by the parties, to be displayed, marketed, promoted, offered for sale and sold in the stores in the territory.",Volume Restriction,Low Risk
"if any product collateral ip (or any aspect thereof) are not designed and/or created by calm, such product collateral ip (or aspect thereof) shall be deemed ""works made for hire"" for calm within the meaning of the u.s. copyright law and/or other applicable comparable laws or, if they do not so qualify, all ownership rights thereto shall be, and are hereby, assigned to calm.",Ip Ownership Assignment,High Risk
"subject to the terms and conditions of this agreement, xspa hereby grants to calm, solely during the term and in the territory, a revocable (as set forth in ​section ​​12.04), royalty-free, assignable (solely as set forth in section ​16.05), non-sublicensable (except as set forth in section ​9.03), non-exclusive license to use the marks set forth on exhibit e (""xspa's marks"", and together with calm's marks, the ""marks""), solely to the extent necessary for calm to exercise its rights or perform its obligations set forth in this agreement.",License Grant,Low Risk
"subject to the terms and conditions of this agreement, calm hereby grants to xspa, solely during the term and in the territory, a revocable (as set forth in ​section ​​12.04), royalty-free, assignable (solely as set forth in section ​16.05), non-sublicensable (except as set forth in section ​9.03), non-exclusive license to use the marks set forth on exhibit d (""calm's marks""), solely to the extent necessary for xspa to exercise its rights or perform its obligations set forth in this agreement.",License Grant,Low Risk
"subject to the terms and conditions of this agreement, xspa hereby grants to calm, solely during the term and in the territory, a revocable (as set forth in ​section ​​12.04), royalty-free, assignable (solely as set forth in section ​16.05), non-sublicensable (except as set forth in section ​9.03), non-exclusive license to use the marks set forth on exhibit e (""xspa's marks"", and together with calm's marks, the ""marks""), solely to the extent necessary for calm to exercise its rights or perform its obligations set forth in this agreement.",Non-Transferable License,Low Risk
"subject to the terms and conditions of this agreement, calm hereby grants to xspa, solely during the term and in the territory, a revocable (as set forth in ​section ​​12.04), royalty-free, assignable (solely as set forth in section ​16.05), non-sublicensable (except as set forth in section ​9.03), non-exclusive license to use the marks set forth on exhibit d (""calm's marks""), solely to the extent necessary for xspa to exercise its rights or perform its obligations set forth in this agreement.",Non-Transferable License,Low Risk
"if any such insurance is on a ""claims made"" basis, xspa shall maintain coverage thereunder for a period of at least two (2) years following the termination of this agreement.",Post-Termination Services,Low Risk
"throughout the term and for a period of six (6) months after the expiration or termination of this agreement, calm shall have a right of first refusal to expand the rights and obligations described in this agreement to any stores outside the territory (the ""rofr"").",Post-Termination Services,Low Risk
"upon termination or expiration of this agreement, calm (at its sole expense) may engage a third party to audit xspa's inventory of any and all product collateral then on hand at each store and xspa shall promptly return or dispose of such inventory as instructed by calm at calm's sole expense.",Post-Termination Services,Low Risk
"in addition, if calm does not provide xspa with instructions within twenty (20) days of the termination or expiration of this agreement, xspa shall be permitted to dispose of any inventory of any and all product collateral then on hand at each store.",Post-Termination Services,Low Risk
"after completion of any inspection or audit pursuant to this section 8.02, xspa shall notify calm of the results of such inspection and audit (the ""calm audit results"").",Audit Rights,Low Risk
"upon receipt of such information, calm shall have thirty (30) days (the ""calm review period"") to review the calm audit results.",Audit Rights,Low Risk
"calm's representatives may, from time to time during regular business hours on reasonable advance notice, during the term of this agreement and for a period of six (6) months thereafter, inspect and audit such books and records and examine and copy all other documents and material in the possession or under the control of xspa with respect to the subject matter and the terms of this agreement.",Audit Rights,Low Risk
"upon termination or expiration of this agreement, calm (at its sole expense) may engage a third party to audit xspa's inventory of any and all product collateral then on hand at each store and xspa shall promptly return or dispose of such inventory as instructed by calm at calm's sole expense.",Audit Rights,Low Risk
"xspa's representatives may, from time to time during regular business hours on reasonable advance notice, during the term of this agreement and for a period of six (6) months thereafter, inspect and audit such books and records and examine and copy all other documents and material in the possession or under the control of calm with respect to the subject matter and the terms of this agreement.",Audit Rights,Low Risk
"except with respect to each party's indemnification obligations under this agreement, (a) under no circumstance and under no legal theory (tort, contract, or otherwise), shall either party be liable to the other party for any lost profits, loss of opportunity or other special, punitive, indirect, or consequential damages suffered by the other party arising in connection with this agreement; and (b) the maximum liability of each party in any way related to this agreement shall not exceed $2,000,000.00 (excluding any amounts due and payable pursuant to section ​8 hereunder).",Cap On Liability,Low Risk
the certificates shall provide that calm will be given at least thirty (30) days prior written notice of cancellation or any material change in these policies.,Insurance,Low Risk
the foregoing insurance policies shall name xspa as the insured and calm as additional insured (except for workers' compensation insurance).,Insurance,Low Risk
"with respect to the foregoing, xspa shall provide to calm certificate(s) evidencing such insurance prior to or upon execution of this agreement.",Insurance,Low Risk
"if any such insurance is on a ""claims made"" basis, xspa shall maintain coverage thereunder for a period of at least two (2) years following the termination of this agreement.",Insurance,Low Risk
in no event shall any insurer have a best's insurance rating of less than (a-) of class size vii.,Insurance,Low Risk
"xspa shall obtain, and thereafter maintain during the term, the following insurance: (a) special form property policy covering all stock on premises of the store, including with respect to all product collateral; (b) workers' compensation insurance in the statutorily required amount (or xspa shall participate in the appropriate state fund if such insurance is not available or allowed), together with employer's liability insurance with a limit of $1,000,000 for each accident; and (c) commercial general liability insurance, (including fire liability, contractual liability, personal injury, product liability and completed operations coverage) in the amount of not less than $3,000,000 combined single limit with umbrella liability coverage with a limit of not less than $10,000,000;",Insurance,Low Risk
"neither party shall do or cause to be done any act or thing that may in any way adversely affect any rights of the other party in and to such other party's marks or any registrations thereof or that, directly or indirectly, may reduce the value of such marks or detract from any mark's reputation, including challenging the ownership, validity or enforceability of such marks.",Covenant Not To Sue,Low Risk
amendment no. 1,Document Name,Low Risk
manufacturing agreement,Document Name,Low Risk
premier,Parties,Low Risk
premier nutrition corporation,Parties,Low Risk
heritage,Parties,Low Risk
"stremick's heritage foods, llc",Parties,Low Risk
"june 11, 2018",Agreement Date,Low Risk
"june 11, 2018",Effective Date,Low Risk
"during the term of this agreement, premier shall be required to purchase a minimum annual order volume (""maov"") of [***] (""units"") for the twelve-month period commencing july 1, 2018 and ending june 30, 2019.",Minimum Commitment,High Risk
content license agreement,Document Name,Low Risk
licensor,Parties,Low Risk
"you on demand holdings, inc.",Parties,Low Risk
beijing sun seven stars culture development limited,Parties,Low Risk
licensee,Parties,Low Risk
"december 21, 2015",Agreement Date,Low Risk
"december 21, 2015",Effective Date,Low Risk
"the term of this agreement (the ""term"") shall commence on the effective date listed above and continue for twenty (20) years, unless sooner terminated as provided in section 7(b) [term and termination].",Expiration Date,Low Risk
"this agreement shall be governed by and construed in all respects in accordance with the laws of the state of new york, without giving effect to any conflicts of laws principles.",Governing Law,Low Risk
"if, during the term, licensor develops or obtains the rights to license any live action or animated feature-length motion picture (each an ""additional title""), licensor shall give licensee the first right of negotiation for each additional title (i.e., the preferred vendor).",Rofr/Rofo/Rofn,Medium Risk
"should licensee agree to be the vendor for an additional title, licensor and licensee will negotiate in good faith to mutually agree upon the pricing and terms for each additional title in an amendment to this agreement.",Rofr/Rofo/Rofn,Medium Risk
licensor will promptly provide written notice to licensee in which licensor lists each additional title.,Rofr/Rofo/Rofn,Medium Risk
"licensee shall have the right to assign or sublicense any or all of its rights granted under this agreement, in whole or in part, to third parties exhibiting the titles in the ordinary course of licensee's business with prior written notice to licensor and subject to the applicable limitations (if any) in section 2(a)(i) [license grant]",Anti-Assignment,High Risk
"except as otherwise specified in the previous sentence, licensee may not sublicense any of its rights under section 2(a) [license grant] without licensor's prior written consent, which shall not be unreasonably withheld or delayed.",Anti-Assignment,High Risk
"neither party may assign its rights, duties or obligations under this agreement to any third party in whole or in part, without the other party's prior written consent, except that (i) licensee may assign its rights and obligations to this agreement to any of its affiliate or subsidiaries with the prior written consent of the licensor, and (ii) licensor may assign its rights and obligations in this agreement to its affiliates or subsidiaries and either party may assign this agreement in its entirety to any purchaser of all or substantially all of its business or assets pertaining to the line of business to which this agreement relates or to any affiliate of the party without the other party's approval.",Anti-Assignment,High Risk
"for content listed in schedule a6 of schedule a (each a ""project""), licensor will only grant licensee certain profit participation rights, for certain durations, as detailed and set forth in schedule a6 of schedule a.",Revenue/Profit Sharing,Low Risk
"the consideration for the licenses granted by licensor to licensee under this agreement is the issuance of the ip common shares as defined in the amended and securities purchase agreement, dated as of december 21, 2015, by and among the licensee and the licensor (the ""share consideration"").",Revenue/Profit Sharing,Low Risk
"licensor hereby grants licensee a non-exclusive license to use the logos, trademarks and service marks used by licensor to identify the titles (collectively, ""licensor marks"") in connection with the use of the titles as set forth in this agreement.",License Grant,Low Risk
"limitations on rights granted: the following distribution methods are permitted: non-theatrical, public video, ship and hotel rights (all not earlier than the us theatrical release); home video rental, home video sell through, and commercial video rights (all not earlier than the us video release); cable tv (pay & free), terrestrial tv (pay & free), satellite pay tv; internet tv (pay & free), residential and non-residential pay-per-view, residential and non-residential internet pay-per-view, vod, near vod, and internet vod (all no earlier than the corresponding exploitation in the usa).",License Grant,Low Risk
"2) for titles listed in schedule a3: for ""天下女人"": no satellite tv broadcasting rights granted. titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way; 3) for titles listed in schedule a4: other than the versions (dubbed or translated) in which the titles in schedule a4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on schedule a4's titles.",License Grant,Low Risk
"in exchange for the share consideration, licensor hereby grants to licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which licensor has the rights to each title as specified in schedule a1-a6 of schedule a) to: i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each title within the territory in any language by vod (including svod, tvod, avod and free vod) for internet, tv and mobile platforms (including, but not limited to, ott streaming services, sites and mobile sites), subject to these limitations for each of the title in schedule a1-a6: 1) for titles listed in schedule a1-a2: licensor can only grant licensee distribution rights to up to six (6) msos plus two (2) of china's internet tv license holders or their ott internet-based video partners by vod (including svod, tvod, avod and free vod). china's current internet tv license holders include: cntv (中国网络电视台/未来电视), bestv (百视通), wasu (华数), southern media cooperation (南方传媒), hunan tv (芒果 tv), china national radio/galaxy internet tv (gitv) (银河电视), and china radio international (中国国际 广播电台);",License Grant,Low Risk
"copy and dub the titles, and authorize any person to do the foregoing licensee shall also have the right to make (or have made on its behalf) translations of the titles with prior written approval by licensor and subject to the applicable limitations (if any) in section 2(a)(i) [license grant]; iii. promote each title in any manner or media, including, without limitation, the right to use and license others to use licensor's name, the title of, trailers created for and excerpts from such title (including but not limited to audio portions only), materials and the name, voice and likeness of and any biographical material concerning all persons appearing in or connected with such title for the purpose of advertising, promoting and/or publicizing such title, licensee and the program service on which the title is exhibited subject to the applicable limitations (if any) in section 2(a)(i) [license grant] ; iv. use the titles for (i) audience and marketing testing, (ii) sponsor/advertiser screening, and (iii) reference and file purposes, subject to the applicable limitations (if any) in section 2(a)(i) [license grant]; and v. include licensee's name, trademark and logo in the titles to identify licensee as the exhibitor of the titles.",License Grant,Low Risk
"2) for titles listed in schedule a3: for ""天下女人"": no satellite tv broadcasting rights granted. titles other than ""猜 猜女人心"", ""赏深越慕"" , ""职场新女性挑战行动"", "" 杨澜访谈录"" (自第192期及以后的节 目),""人生相对论 "", "" 天下女人"", and ""正青春"" cannot be edited in any way; 3) for titles listed in schedule a4: other than the versions (dubbed or translated) in which the titles in schedule a4 already exist in (and were delivered in), no further dubbing, translation, or editing may be performed by any party on schedule a4's titles. 4) for titles listed in schedule a5 (except ""summer in february""): limitations on rights granted: the following distribution methods are permitted: non-theatrical, public video, ship and hotel rights (all not earlier than the us theatrical release); home video rental, home video sell through, and commercial video rights (all not earlier than the us video release); cable tv (pay & free), terrestrial tv (pay & free), satellite pay tv; internet tv (pay & free), residential and non-residential pay-per-view, residential and non-residential internet pay-per-view, vod, near vod, and internet vod (all no earlier than the corresponding exploitation in the usa).",Irrevocable Or Perpetual License,Low Risk
"in exchange for the share consideration, licensor hereby grants to licensee a non-exclusive, royalty-free, perpetual and non-perpetual license (subject to the duration and scope, and format limitations for which licensor has the rights to each title as specified in schedule a1-a6 of schedule a) to: i. license, exhibit, distribute, reproduce, transmit, perform, display, and otherwise exploit and make available each title within the territory in any language by vod (including svod, tvod, avod and free vod) for internet, tv and mobile platforms (including, but not limited to, ott streaming services, sites and mobile sites), subject to these limitations for each of the title in schedule a1-a6: 1) for titles listed in schedule a1-a2: licensor can only grant licensee distribution rights to up to six (6) msos plus two (2) of china's internet tv license holders or their ott internet-based video partners by vod (including svod, tvod, avod and free vod). china's current internet tv license holders include: cntv (中国网络电视台/未来电视), bestv (百视通), wasu (华数), southern media cooperation (南方传媒), hunan tv (芒果 tv), china national radio/galaxy internet tv (gitv) (银河电视), and china radio international (中国国际 广播电台);",Irrevocable Or Perpetual License,Low Risk
"sections 2(a) [license grant], 2(b) [sublicensing], 2(c) [display of titles], 2(d) [removal of titles], 3, and 11 shall survive the expiration or termination of this agreement: (i) in perpetuity with respect to titles for which the licenses granted in section 2(a) [license grant] are perpetual; and (ii) for the duration of the applicable license term specified in schedule a with respect to titles for which the license term specified in schedule a extends beyond the expiration or termination of this agreement.",Irrevocable Or Perpetual License,Low Risk
"until one (1) year after the expiration of the profit participation of each project, the books and records will be available for inspection by a certified accounting firm or cpa once per year upon reasonable advance notice.",Audit Rights,Low Risk
"except for the above indemnification obligations and for breaches of section 14, neither party shall be liable to the other for any incidental, consequential, special or punitive damages arising out of this agreement (including, but not limited to, loss of profits), whether in an action or arising out of breach of contract, tort or any other cause of action even if such party has been advised of the possibility of such damages.",Uncapped Liability,Low Risk
"except for the above indemnification obligations and for breaches of section 14, neither party shall be liable to the other for any incidental, consequential, special or punitive damages arising out of this agreement (including, but not limited to, loss of profits), whether in an action or arising out of breach of contract, tort or any other cause of action even if such party has been advised of the possibility of such damages.",Cap On Liability,Low Risk
development agreement,Document Name,Low Risk
bioamber,Parties,Low Risk
bioamber s.a.s.,Parties,Low Risk
cargill,Parties,Low Risk
"bioamber and cargill shall be referred to individually as ""party"" and collectively as ""parties""",Parties,Low Risk
"cargill, incorporated",Parties,Low Risk
"april 15 , 2010",Agreement Date,Low Risk
"april 15 , 2010",Effective Date,Low Risk
"this development agreement will begin on the effective date and continue for four (4) years unless earlier terminated pursuant to section 10.2, or unless the parties extend the term by mutual written development agreement (""term"").",Expiration Date,Low Risk
"this development agreement shall be governed by and construed in accordance with the laws of the state of minnesota, united states of america, disregarding its conflicts of law rules.",Governing Law,Low Risk
"this restriction shall apply to any succinic acid biocatalyst other than e. coli, be it a biocatalyst developed in-house, licensed-in, or under development at a third party lab that is funded by bioamber or to which bioamber has secured a future right or right of first refusal through direct payment, in kind contribution, grant, gift, differed payment or commitment to a future payment.",Non-Compete,Low Risk
"bioamber will not itself or with or through third parties engage in the development of biocatalysts other than e. coli for the production of succinic acid or salts thereof, except for the development activities under the terms and conditions of this development agreement.",Non-Compete,Low Risk
"cargill hereby grants bioamber, and bioamber hereby accepts, an exclusive, royalty-free license to cargill improvements and joint improvements for use in the field during the term of this development agreement with a reservation of right for cargill to practice such cargill improvements and joint improvements for use in the field of succinic acid and salts thereof during the term of this development agreement.",Exclusivity,Low Risk
"bioamber hereby grants cargill, and cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to bioamber improvements for use outside the field during the term of this development agreement",Exclusivity,Low Risk
"notwithstanding the above, bioamber shall be permitted to evaluate other biocatalysts, but shall not undertake development of such biocatalysts.",Competitive Restriction Exception,Low Risk
"cargill shall have the first option to prepare, file, prosecute, and maintain patent applications and issued/granted patents on bioamber improvements and joint improvements, which option may be waived in whole or in part.",Rofr/Rofo/Rofn,Medium Risk
neither party shall assign this development agreement or the obligations contained herein without the express written consent of the other party.,Anti-Assignment,High Risk
"in the event milestone 3 is achieved, cargill will provide up to [***] to assist in a successful transfer of the modified cb1 technology to bioamber in order to allow subsequent scale-up at the same fte rate set forth in section 2.2.",Volume Restriction,Low Risk
"in addition to the payment in section 2.1, bioamber shall pay cargill a total of [***] u.s. dollars ($[***] per year per full-time equivalent (fte) person to perform the work plan, and cargill will make available up to [***] fte persons per year to perform the work as outlined in the work plan.",Volume Restriction,Low Risk
"in the event it is not clear as to ownership of any improvement as described in this section 5.2, in other words, if it is not clear whether an invention or discovery is either a bioamber improvement or a cargill improvement, such improvement shall be [***] and such improvement shall be designated ""joint improvements"".",Joint Ip Ownership,Low Risk
"cargill hereby grants bioamber, and bioamber hereby accepts, an exclusive, royalty-free license to cargill improvements and joint improvements for use in the field during the term of this development agreement with a reservation of right for cargill to practice such cargill improvements and joint improvements for use in the field of succinic acid and salts thereof during the term of this development agreement.",License Grant,Low Risk
"bioamber hereby grants cargill, and cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to bioamber improvements for use outside the field during the term of this development agreement.",License Grant,Low Risk
"in the event cargill (i) is unable to achieve a given milestone described in section 2.3 by the target date, or (ii) terminates this agreement pursuant to section 10.2, bioamber shall have the option to obtain a license during the term of this development agreement to the patent applications and patents listed in exhibit b (including any continuations, continued prosecutions, continuations- in-part, reissues, reexaminations, divisions or substitutions thereof) (collectively ""licensed patents""), the tool kit listed in exhibit c (""licensed tool kit""), and cargill improvements if any (as defined in section 5.2 below), for research use only and for additional monetary consideration (""research license"").",License Grant,Low Risk
cargill shall also grant a commercial license to bioamber for cargill improvements and joint improvements under the terms and conditions of exhibit d.,License Grant,Low Risk
"bioamber hereby grants cargill, and cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to bioamber improvements for use outside the field during the term of this development agreement.",Non-Transferable License,Low Risk
"the research license shall be provided to bioamber only, with no rights to sublicense and with no ""have made"" rights.",Non-Transferable License,Low Risk
"bioamber hereby grants cargill, and cargill hereby accepts, an exclusive, worldwide, royalty-free license with an unlimited right to sublicense under and to bioamber improvements for use outside the field during the term of this development agreement. such use shall be for research purposes only.",Unlimited/All-You-Can-Eat-License,Low Risk
bioamber shall have the right to audit cargill time sheets from time to time.,Audit Rights,Low Risk
"such audit shall occur once per year during reasonable business hours by an independent third party agreed to by both parties, who shall be under obligations of confidentiality.",Audit Rights,Low Risk
"bioamber and cargill agree to waive any and all claims against each other for consequential, punitive, incidental, special, or other forms of ""exemplary"" losses whether arising in contract, warranty, tort (including negligence), strict liability, or otherwise, including any losses relating to lost use, lost profits, lost business, damage to reputation, or lost or diminished financing unless such claims are based on a party's gross negligence or willful misconduct.",Cap On Liability,Low Risk
split-dollar endorsement agreement,Document Name,Low Risk
jeffrey hanuscin,Parties,Low Risk
"""employer"")",Parties,Low Risk
prudential bank,Parties,Low Risk
employee,Parties,Low Risk
"1st day of june, 2017",Agreement Date,Low Risk
"whereas, it is now understood and agreed that this split-dollar agreement is to be effective as of the date first listed above;",Effective Date,Low Risk
"1st day of june, 2017",Effective Date,Low Risk
"this agreement sets forth the entire agreement of the parties hereto, and any and all prior agreements, to the extent inconsistent herewith, are hereby superseded. this agreement will be governed by the laws of the state of pennsylvania.",Governing Law,Low Risk
"this agreement may be terminated at any time while the employee is living by written notice thereof by either the employer or the employee to the other; and, in any event, this agreement will terminate upon termination of the employee's employment.",Termination For Convenience,Low Risk
"upon the death of the employee, proceeds shall be paid in one sum to the owner, its successors or assigns, to the extent of its interest in the policy as described in the agreement.",Third Party Beneficiary,Low Risk
"upon the death of the employee while this agreement is in force, the employee's beneficiary as named in the beneficiary designation form on page 6 (or as it may be amended according to the terms set forth on page 6) for this agreement will be entitled to receive from the policy proceeds an amount equal to the lesser of: (a) (two (2) times the employee's annualized base salary at the time of death as provided by the employer's payroll department) plus $100,000, reduced by any amount payable under the employer's group term life insurance plan, or (b) the net amount at risk.",Third Party Beneficiary,Low Risk
collaboration agreement,Document Name,Low Risk
"berkeley lights, inc.",Parties,Low Risk
"ginkgo and bli may each be referred to herein as a ""party"" or, collectively, as the ""parties.""",Parties,Low Risk
bli,Parties,Low Risk
"ginkgo bioworks, inc.",Parties,Low Risk
ginkgo,Parties,Low Risk
"september 13th, 2019",Agreement Date,Low Risk
"september 13th, 2019",Effective Date,Low Risk
"""intended end of term"" means the later of (a) the seventh (7th) anniversary of the effective date and (b) the date determined to be the ""intended end of term"" under section 7.2.2(d) (effects of tolling).",Expiration Date,Low Risk
"at the expiration of the intended end of term, ginkgo has paid the minimum cumulative purchase commitment, but will not have paid to bli the full purchase target, then the term of this agreement shall automatically extend for an additional [***] ([***]) year period from the date of the expiration of the then-intended end of term so that, among other things, bli may potentially receive the benefit of the full purchase target and ginkgo may receive the continuing benefit of royalty-free licenses.",Expiration Date,Low Risk
"this agreement shall commence on the effective date and, unless sooner terminated in accordance with its terms, including by ginkgo pursuant to section 7.3 (buy-down election) or extended by the mutual written agreement of the parties, shall continue until the intended end of term (such time period, as may be extended pursuant to this section 13.3.1 (term - general), the ""term""); provided that, if,",Expiration Date,Low Risk
"this agreement shall commence on the effective date and, unless sooner terminated in accordance with its terms, including by ginkgo pursuant to section 7.3 (buy-down election) or extended by the mutual written agreement of the parties, shall continue until the intended end of term (such time period, as may be extended pursuant to this section 13.3.1 (term - general), the ""term""); provided that, if,",Renewal Term,Low Risk
"at the expiration of the intended end of term, ginkgo has paid the minimum cumulative purchase commitment, but will not have paid to bli the full purchase target, then the term of this agreement shall automatically extend for an additional [***] ([***]) year period from the date of the expiration of the then-intended end of term so that, among other things, bli may potentially receive the benefit of the full purchase target and ginkgo may receive the continuing benefit of royalty-free licenses.",Renewal Term,Low Risk
"this agreement will be construed and interpreted in accordance with the laws of the state of delaware, without regard to any choice of law provision.",Governing Law,Low Risk
"with respect to any [***],",Most Favored Nation,Low Risk
"(ii) the per unit pricing charged by bli to ginkgo at any time shall be no greater than the lowest of the (a) lowest price per unit charged by bli or its affiliates to any similarly situated third party customer (i.e. taking into account [***]) for such unit at any time in the [***] ([***]) months prior to the delivery of the applicable purchase order by ginkgo or (b) the then- current list price; provided, however, that in no event shall bli be required to charge a price less than the cost of goods sold for such unit, as determined in accordance with united states generally accepted accounting principles, consistently applied.",Most Favored Nation,Low Risk
"during the term and for a period of [***] ([***]) months following the term of this agreement, other than pursuant to sections 13.3.2 (effects of termination based upon ginkgo's buy-down election) or 13.3.3 (effects of termination based upon an uncured ginkgo breach, insolvency or force majeure event), bli shall not, and shall cause its affiliates not to, directly or indirectly, itself or with or through a third party, develop, configure, customize, license, sell, provide or otherwise give access to the beacon platform or any [***] to, [***] or its affiliates for any use; provided that this restriction shall terminate as set forth in section 13.3 (effects of expiration or termination) or if ginkgo has not satisfied its minimum cumulative purchase commitments (as such may be adjusted under this agreement) for a full contract year, including [***] as permitted under section 7.2.2(a) (minimum cumulative purchase commitments) or section 7.2.2(b)(iii) (development purchase commitments); provided that bli will provide written notice to ginkgo within [***] ([***]) days of the end of any contract year with respect to which bli believes that ginkgo has not satisfied its minimum cumulative purchase commitment.",Non-Compete,Low Risk
except as provided in this section 6.2.1 (restrictions on bli) and the scope of rights granted to,Competitive Restriction Exception,Low Risk
"during the term and for a period of [***] ([***]) months following the term of this agreement, other than pursuant to sections 13.3.2 (effects of termination based upon ginkgo's buy-down election) or 13.3.3 (effects of termination based upon an uncured ginkgo breach, insolvency or force majeure event), bli shall not, and shall cause its affiliates not to, directly or indirectly, itself or with or through a third party, develop, configure, customize, license, sell, provide or otherwise give access to the beacon platform or any [***] to, [***] or its affiliates for any use; provided that this restriction shall terminate as set forth in section 13.3 (effects of expiration or termination) or if ginkgo has not satisfied its minimum cumulative purchase commitments (as such may be adjusted under this agreement) for a full contract year, including [***] as permitted under section 7.2.2(a) (minimum cumulative purchase commitments) or section 7.2.2(b)(iii) (development purchase commitments); provided that bli will provide written notice to ginkgo within [***] ([***]) days of the end of any contract year with respect to which bli believes that ginkgo has not satisfied its minimum cumulative purchase commitment.",Competitive Restriction Exception,Low Risk
"ginkgo under this agreement (including under section 6.1 (headstart period) and section 9.1 (licenses to ginkgo)), nothing in this agreement shall otherwise limit, prohibit or preclude bli from developing, configuring, customizing, licensing, selling or providing the beacon platform or collaboration workflows for itself or to a third party for any uses or otherwise entering into a business or advisory arrangement with any third party.",Competitive Restriction Exception,Low Risk
"([***]) by the non-hiring party in the immediately prior calendar year and, further, if the individual solicited and then hired in violation of this is a key person under section 5.4.1(b) (dedicated ftes; key persons), then bli shall have [***] ([***]) months to identify an employee as the individual to replace such key person and any (a) [***] or (b) [***], in each case (a)-(b), to the extent due to the absence of such key person performing a workflow development plan upon which the key person was engaged, shall be deemed waived for that [***] month period.",No-Solicit Of Employees,Low Risk
"neither party will, [***], directly or indirectly with or through any person, solicit for employment any person who is an employee of the other party; provided, however, that general solicitation of the public for employment shall not constitute a solicitation hereunder so long as such general solicitation is not designed to target any such person.",No-Solicit Of Employees,Low Risk
"in the event that a party solicits and then hires an employee of the other party in violation of this section 14.4 (non-solicit), the hiring party shall, [***], within [***] ([***]) days of such hire, pay the other party an amount equal to the [***] cash compensation actually paid to the individual",No-Solicit Of Employees,Low Risk
"4.1.9 ginkgo may elect, at any time in its sole discretion, to terminate the software license agreement that comprises part of the bli terms and conditions and, upon such termination, ginkgo's right to use such underlying software shall term",Termination For Convenience,Low Risk
"with respect to beacon optofluidic machines (including related hardware and software), consumables and services for which ginkgo has placed a purchase order pursuant to this agreement, the parties agree to the bli terms and conditions that apply with respect to beacon optofluidic machines (including related hardware and software), consumables and services, unless, notwithstanding anything to the contrary set forth in the bli terms and conditions (including any language regarding the treatment of additional or different terms set forth therein), a term in such bli terms and conditions is inconsistent with a term in this agreement, in which case this agreement shall control, including as follows:",Termination For Convenience,Low Risk
"except as permitted under sections 9.2.1 and 9.2.2, bli may not sublicense, assign or otherwise transfer the rights granted to it in this section 9.2 (grants to bli) without first obtaining the prior written consent of ginkgo[***].",Anti-Assignment,High Risk
"neither party may assign or otherwise transfer this agreement or any rights hereunder, without the prior written consent of the other party; provided that either party may assign or otherwise transfer this agreement or any rights hereunder (a) to a wholly-owned subsidiary of such party or (b) in connection with the transfer or sale of all or substantially all of the business or assets of such party related to the subject matter of this agreement, whether by merger, consolidation, divestiture, restructure, sale of stock sale of assets or otherwise its successor, whether in a merger, sale of stock or sale of assets or any other transaction, in each case (a)-(b), without first obtaining the prior written consent of the other party, so long as the non-assigning party is notified in writing of such assignment within [***] ([***]) days following such assignment; provided further that, in no event may bli assign this agreement, in whole or in part, to any person [***] without first obtaining ginkgo's prior written consent.",Anti-Assignment,High Risk
any purported assignment of this agreement by a party in contradiction to this section 14.4 (assignment) will be void and of no effect.,Anti-Assignment,High Risk
of such subcontracting party (e.g. [***]) or (b) [***] (e.g. [***]) in order for a party to [***].,Anti-Assignment,High Risk
each party may only subcontract its activities under this agreement (including under a workflow development plan) with the other party's consent; provided that such consent shall not be necessary if (a) such subcontracting of activities is [***],Anti-Assignment,High Risk
